# Marginal rates for each reported source of suffering, by year.
# 
# IMPORTANT: the MAID monitoring regulations changed on 1 January 2023 and the
# reporting form's answer options changed with them. Health Canada states that
# "data collected in 2023 are not fully comparable with the data collected in
# previous years". The clearest artefacts: "loss of independence" and "emotional
# distress" were residual free-text categories before 2023 (1.7-5.6%) and became
# listed options afterwards (38-75%). Trends must not be read across 2022/2023.
year,measure,published_label,track_1_or_all_pct,track_2_pct,breakdown,form_version,source
2019,meaningful_activities,Loss of ability to engage in meaningful life activities,82.1,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,activities_daily_living,Loss of ability to perform activities of daily living,78.1,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,other_symptom_control,"Inadequate control of other symptoms, or concern",56.4,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,pain_control,"Inadequate pain control, or concern",53.9,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,dignity,Loss of dignity,53.3,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,perceived_burden,"Perceived burden on family, friends or caregivers",34.0,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,bodily_functions,Loss of control of bodily functions,31.9,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,isolation_loneliness,Isolation or loneliness,13.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,emotional_existential,Emotional distress / anxiety / fear / existential suffering,4.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,independence,Loss of control / autonomy / independence,4.1,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,quality_of_life,No / poor / loss of quality of life,3.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2019,other,Other,0.6,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2019.html
2020,meaningful_activities,Loss of ability to engage in meaningful activities,84.9,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,activities_daily_living,Loss of ability to perform activities of daily living,81.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,pain_control,Inadequate control of pain (or concern),57.4,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,dignity,Loss of dignity,53.9,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,other_symptom_control,Inadequate control of symptoms other than pain (or concern),50.6,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,perceived_burden,"Perceived burden on family, friends or caregivers",35.9,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,bodily_functions,Loss of control of bodily functions,33.1,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,isolation_loneliness,Isolation or loneliness,18.6,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,emotional_existential,Emotional distress / anxiety / fear / existential suffering,5.6,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,quality_of_life,No / poor / loss of quality of life,3.1,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,independence,Loss of control / autonomy / independence,1.9,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2020,other,Other,1.0,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2020.html
2021,meaningful_activities,Loss of ability to engage in meaningful activities,86.3,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,activities_daily_living,Loss of ability to perform activities of daily living,83.4,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,pain_control,Inadequate control of pain (or concern),57.6,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,dignity,Loss of dignity,54.3,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,other_symptom_control,Inadequate control of symptoms other than pain (or concern),46.0,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,perceived_burden,"Perceived burden on family, friends or caregivers",35.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,bodily_functions,Loss of control of bodily functions,33.8,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,isolation_loneliness,Isolation or loneliness,17.3,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,emotional_existential,Emotional distress / anxiety / fear / existential suffering,3.0,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,quality_of_life,No / poor / loss of quality of life,2.8,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,independence,Loss of control / autonomy / independence,1.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
2021,other,Other,0.7,,all,pre-2023 form,https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2021.html
