Jurisdiction,,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC,YT,NT,NU
Population,,"521,542","156,947","971,395","776,827","8,484,965","14,566,547","1,369,465","1,174,462","4,371,316","5,071,336","40,854","44,826","38,780"
Total number of medically assisted deaths,,16,17,124,103,"1,546","1,747",171,92,361,"1,201",11,-,-
Number of medically assisted deaths by setting,Hospital,-,-,46 (37.1%),46 (44.7%),752 (48.6%),456 (26.1%),74 (43.3%),45 (48.9%),169 (46.8%),346 (28.8%),-,-,-
Private Residence,-,-,51 (41.1%),34 (33.0%),295 (19.1%),817 (46.8%),59 (34.5%),19 (20.7%),106 (29.4%),506 (42.1%),-,-,-,
Palliative Care Facility,-,-,16 (12.9%),23 (22.3%),399 (25.8%),360 (20.6%),26 (15.2%),19 (20.7%),44 (12.2%),218 (18.2%),-,-,-,
Residential Care Facility / Other,-,-,11 (8.9%),0 (0.0%),100 (6.5%),114 (6.5%),12 (7.0%),9 (9.8%),42 (11.6%),131 (10.9%),-,-,-,
Average age of person who received MAID,,70.4,73.9,73.3,72.2,73.5,75.8,76.6,76.2,74.6,76.9,68.3,-,-
Age range of person receiving MAID,18-45,-,-,-,-,32 (2.1%),29 (1.7%),-,-,-,26 (2.2%),-,-,-
46-55,-,-,-,-,65 (4.2%),98 (5.6%),-,-,-,42 (3.5%),-,-,-,
56-64,-,-,18 (14.5%),14 (13.6%),218 (14.1%),200 (11.4%),19 (11.1%),16 (17.4%),53 (14.7%),140 (11.7%),-,-,-,
65-70,-,-,20 (16.1%),17 (16.5%),301 (19.5%),275 (15.7%),30 (17.5%),16 (17.4%),55 (15.2%),165 (13.7%),-,-,-,
71-75,-,-,22 (17.7%),30 (29.1%),269 (17.4%),236 (13.5%),29 (17.0%),10 (10.9%),46 (12.7%),162 (13.5%),-,-,-,
76-80,-,-,21 (16.9%),12 (11.7%),247 (16.0%),250 (14.3%),19 (11.1%),13 (14.1%),47 (13.0%),161 (13.4%),-,-,-,
81-85,-,-,15 (12.1%),14 (13.6%),198 (12.8%),226 (12.9%),18 (10.5%),13 (14.1%),46 (12.7%),171 (14.2%),-,-,-,
86-90,-,-,9 (7.3%),7 (6.8%),136 (8.8%),230 (13.2%),18 (10.5%),9 (9.8%),45 (12.5%),174 (14.5%),-,-,-,
91+,-,-,9 (7.3%),-,80 (5.2%),203 (11.6%),28 (16.4%),12 (13.0%),37 (10.2%),160 (13.3%),-,-,-,
