Nature of Suffering,Percent
Loss of ability to engage in meaningful life activities,82.1%
Loss of ability to perform activities of daily living,78.1%
"Inadequate control of other symptoms, or concern",56.4%
"Inadequate pain control, or concern",53.9%
Loss of dignity,53.3%
"Perceived burden on family, friends or caregivers",34.0%
Loss of control of bodily functions,31.9%
Isolation or loneliness,13.7%
Emotional distress / anxiety / fear / existential suffering,4.7%
Loss of control / autonomy / independence,4.1%
No / poor / loss of quality of life,3.7%
Other,0.6%
