Jurisdiction,,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC,YT,NT,NU
Population,,"522,103","159,625","979,351","781,476","8,574,571","14,734,014","1,379,623","1,178,681","4,421,876","5,147,712","42,052","45,161","39,353"
Total number of medically assisted deaths,,46,36,175,144,"2,120","2,371",212,157,552,"1,553",13,-,-
Number of medically assisted deaths by setting,Hospital,14 30.4%,19 52.8%,77 44.0%,47 32.6%,775 36.6%,464 19.6%,71 33.5%,66 42.0%,181 32.8%,345 22.2%,-,-,-
Private Residence,26 56.5%,10 27.8%,78 44.6%,57 39.6%,733 34.6%,"1,382 58.3%",96 45.3%,72 45.9%,237 42.9%,820 52.8%,-,-,-,
Palliative Care Facility,-,-,13 7.4%,33 22.9%,515 24.3%,356 15.0%,28 13.2%,9 5.7%,62 11.2%,245 15.8%,-,-,-,
Residential Care Facility / Other,-,-,7 4.0%,7 4.9%,97 4.6%,169 7.2%,17 8.0%,10 6.4%,72 13.0%,143 9.2%,-,-,-,
Average age of person who received MAID,,72.7,72.1,73.6,72.6,73.9,76.3,75.8,73.4,73.3,76.8,75.3,-,-
Age range of person receiving MAID,18-45,-,-,-,-,27 1.3%,38 1.6%,-,-,20 3.6%,19 1.2%,-,-,-
46-55,-,-,14 8.0%,7 4.9%,88 4.2%,87 3.7%,-,-,30 5.4%,42 2.7%,-,-,-,
56-64,-,-,30 17.1%,29 20.1%,328 15.5%,305 12.9%,37 17.5%,21 13.4%,91 16.5%,185 11.9%,-,-,-,
65-70,-,-,25 14.3%,32 22.2%,386 18.2%,306 12.9%,32 15.1%,32 20.4%,84 15.2%,217 14.0%,-,-,-,
71-75,-,-,27 15.4%,26 18.1%,370 17.5%,364 15.4%,28 13.2%,24 15.3%,78 14.1%,260 16.7%,-,-,-,
76-80,-,-,20 11.4%,12 8.3%,314 14.8%,361 15.2%,29 13.7%,18 11.5%,82 14.9%,211 13.6%,-,-,-,
81-85,-,-,23 13.1%,20 13.9%,271 12.8%,341 14.4%,20 9.4%,15 9.6%,60 10.9%,228 14.7%,-,-,-,
86-90,-,-,21 12.0%,12 8.3%,221 10.4%,287 12.1%,24 11.3%,20 12.7%,65 11.8%,214 13.8%,-,-,-,
91+,-,-,-,-,115 5.4%,282 11.9%,32 15.1%,13 8.3%,42 7.6%,177 11.4%,-,-,-,
Number of men / women receiving MAID,Men,31 67.4%,23 63.9%,102 58.3%,83 57.6%,"1,097 51.7%","1,201 50.7%",104 49.1%,89 56.7%,300 54.3%,795 51.2%,-,-,-
Women,15 32.6%,13 36.1%,73 41.7%,61 42.4%,"1,023 48.3%","1,170 49.3%",108 50.9%,68 43.3%,252 45.7%,758 48.8%,-,-,-,
Most common reported underlying medical condition of patients who obtain a medically assisted death,Cancer-Related,32 69.6%,24 66.7%,132 75.4%,107 74.3%,"1,572 74.2%","1,598 67.4%",143 67.5%,116 73.9%,373 67.6%,990 63.7%,-,-,-
Neurological Condition,-,-,18 10.3%,10 6.9%,211 10.0%,242 10.2%,20 9.4%,15 9.6%,72 13.0%,155 10.0%,-,-,-,
Chronic Respiratory Disease,-,-,18 10.3%,16 11.1%,216 10.2%,266 11.2%,20 9.4%,18 11.5%,72 13.0%,200 12.9%,-,-,-,
Cardiovascular,-,-,13 7.4%,14 9.7%,237 11.2%,363 15.3%,34 16.0%,23 14.6%,66 12.0%,265 17.1%,-,-,-,
Other Organ Failure,-,-,9 5.1%,-,125 5.9%,154 6.5%,13 6.1%,10 6.4%,39 7.1%,122 7.9%,-,-,-,
Multiple Comorbidities,-,-,-,8 5.6%,94 4.4%,220 9.3%,21 9.9%,14 8.9%,45 8.2%,160 10.3%,-,-,-,
Other Condition,-,-,-,-,96 4.5%,174 7.3%,13 6.1%,10 6.4%,54 9.8%,275 17.7%,-,-,-,
Location,Urban,32 69.6%,17 47.2%,98 56.0%,80 55.6%,"1,689 79.7%","1,931 81.4%",167 78.8%,112 71.3%,447 81.0%,"1,299 83.6%",-,-,-
Rural,14 30.4%,19 52.8%,77 44.0%,64 44.4%,431 20.3%,440 18.6%,45 21.2%,45 28.7%,105 19.0%,254 16.4%,-,-,-,
