Palliative Care Services,,,,,Disability Support Services,,
,,,Number,Percentage,,Number,Percentage
Persons who received palliative care services,,,"6,115",82.8%,Persons who required disability support services,"3,219",43.6%
Persons who did not receive palliative care services,,,"1,099",14.9%,Persons who did not require disability support services,"2,783",37.7%
Unknown,,,170,2.3%,Unknown,"1,382",18.7%
Persons who received disability support services,"2,897",90.0%,,,,,
Palliative care was accessible if needed,,,973,88.5%,Persons who required but did not receive disability support services,123,3.8%
Disability support services were accessible if needed,90,73.2%,,,,,
Palliative Care - Duration,,,,,Disability Support - Duration,,
Less than 2 weeks,,,"1,104",18.1%,Less than 6 months,"1,226",42.3%
2 weeks to under 1 month,,,"1,163",19.0%,6 months or longer,"1,012",34.9%
1 month or more,,,"3,350",54.8%,Unknown,659,22.7%
Unknown,,,498,8.1%,,,
"Explanatory Note: This chart represents MAID data where the report was received by Health Canada by January 31, 2021. For 2020, this represents 7,384 MAID deaths.",,,,,,,
