Nature of Suffering,Percent
Loss of ability to engage in meaningful activities,84.9%
Loss of ability to perform activities of daily living,81.7%
Inadequate control of pain (or concern),57.4%
Loss of dignity,53.9%
Inadequate control of symptoms other than pain (or concern),50.6%
"Perceived burden on family, friends or caregivers",35.9%
Loss of control of bodily functions,33.1%
Isolation or loneliness,18.6%
Emotional distress / anxiety / fear / existential suffering,5.6%
No / poor / loss of quality of life,3.1%
Loss of control / autonomy / independence,1.9%
Other,1.0%
