Nature of Suffering,Percent
Loss of ability to engage in meaningful activities,86.3%
Loss of ability to perform activities of daily living,83.4%
Inadequate control of pain (or concern),57.6%
Loss of dignity,54.3%
Inadequate control of symptoms other than pain (or concern),46.0%
"Perceived burden on family, friends or caregivers",35.7%
Loss of control of bodily functions,33.8%
Isolation or loneliness,17.3%
Emotional distress / anxiety / fear / existential suffering,3.0%
No / poor / loss of quality of life,2.8%
Loss of control / autonomy / independence,1.7%
Other,0.7%
