Jursidiction,,NL,,PE,,NS,,NB,,QC,,ON,,MB,,SK,,AB,,BC,,YT,,NT,,NU,
Population,,"520,553",,"164,318",,"992,055",,"789,225",,"8,604,495",,"14,826,276",,"1,383,765",,"1,179,844",,"4,442,879",,"5,214,805",,"42,986",,"45,504",,"39,403",
Total Number of medically assisted deaths,,62,,39,,233,,196,,"3,221",,"3,100",,243,,241,,591,,"2,009",,12,,-,,-,-
Number of medically assisted deaths by setting,Hospital,20,32.3%,16,41.0%,91,39.1%,49,25.0%,1201,37.3%,621,20.0%,60,24.7%,110,45.6%,166,28.1%,510,25.4%,-,-,-,-,-,-
Private Residence,26,41.9%,15,38.5%,109,46.8%,75,38.3%,1097,34.1%,1674,54.0%,109,44.9%,97,40.2%,252,42.6%,937,46.6%,-,-,-,-,-,-,
Palliative Care Facility,10,16.1%,-,-,23,9.9%,61,31.1%,764,23.7%,606,19.5%,47,19.3%,12,5.0%,71,12.0%,346,17.2%,-,-,-,-,-,-,
Residential Care Facility / Other,6,9.7%,-,-,10,4.3%,11,5.6%,159,4.9%,199,6.4%,27,11.1%,22,9.1%,102,17.3%,216,10.8%,-,-,-,-,-,-,
Average age of person who received MAID,,75.2,,75.2,,73.1,,73.2,,75.8,,76.9,,77.8,,74.6,,73.9,,77.8,,63.0,,-,,-,
Age range of person receiving MAID,18-45,-,-,-,-,-,-,-,-,38,1.2%,42,1.4%,-,-,-,-,18,3.0%,20,1.0%,-,-,-,-,-,-
46-55,-,-,-,-,-,-,12,6.1%,90,2.8%,102,3.3%,-,-,-,-,35,5.9%,69,3.4%,-,-,-,-,-,-,
56-64,-,-,-,-,40,17.2%,27,13.8%,384,11.9%,357,11.5%,29,11.9%,33,13.7%,90,15.2%,195,9.7%,-,-,-,-,-,-,
65-70,12,19.4%,-,-,44,18.9%,30,15.3%,483,15.0%,437,14.1%,28,11.5%,35,14.5%,106,17.9%,276,13.7%,-,-,-,-,-,-,
71-75,9,14.5%,-,-,34,14.6%,34,17.3%,592,18.4%,437,14.1%,41,16.9%,44,18.3%,81,13.7%,292,14.5%,-,-,-,-,-,-,
76-80,11,17.7%,-,-,33,14.2%,38,19.4%,577,17.9%,512,16.5%,33,13.6%,28,11.6%,73,12.4%,309,15.4%,-,-,-,-,-,-,
81-85,9,14.5%,-,-,19,8.2%,28,14.3%,440,13.7%,443,14.3%,28,11.5%,38,15.8%,61,10.3%,291,14.5%,-,-,-,-,-,-,
86-90,7,11.3%,-,-,27,11.6%,16,8.2%,381,11.8%,382,12.3%,33,13.6%,17,7.1%,65,11.0%,267,13.3%,-,-,-,-,-,-,
91+,-,-,-,-,17,7.3%,-,-,236,7.3%,388,12.5%,40,16.5%,26,10.8%,62,10.5%,290,14.4%,-,-,-,-,-,-,
Number of men / women receiving MAID,Men,38,61.3%,19,48.7%,133,57.1%,103,52.6%,1755,54.5%,1581,51.0%,121,49.8%,129,53.5%,314,53.1%,1006,50.1%,-,-,-,-,-,-
Women,24,38.7%,20,51.3%,100,42.9%,93,47.4%,1466,45.5%,1519,49.0%,122,50.2%,112,46.5%,277,46.9%,1003,49.9%,-,-,-,-,-,,
Most common reported underlying medical condition of patients who obtain a medically assisted death,Cancer-Related,47,75.8%,25,64.1%,165,70.8%,128,65.3%,2216,68.8%,2004,64.6%,151,62.1%,168,69.7%,368,62.3%,1247,62.1%,-,,-,,-,-
Neurological Condition,-,-,10,25.6%,19,8.2%,22,11.2%,402,12.5%,323,10.4%,32,13.2%,31,12.9%,94,15.9%,291,14.5%,-,-,-,-,-,-,
Chronic Respiratory Disease,10,16.1%,-,-,23,9.9%,18,9.2%,408,12.7%,377,12.2%,24,9.9%,37,15.4%,75,12.7%,262,13.0%,-,-,-,-,-,-,
Cardiovascular,-,-,-,-,28,12.0%,21,10.7%,508,15.8%,658,21.2%,33,13.6%,47,19.5%,97,16.4%,461,22.9%,-,-,-,-,-,-,
Other Organ Failure,-,-,-,-,15,6.4%,16,8.2%,259,8.0%,216,7.0%,12,4.9%,21,8.7%,42,7.1%,208,10.4%,-,-,-,-,-,-,
Multiple Comorbidities,-,-,7,17.9%,15,6.4%,-,-,294,9.1%,222,7.2%,30,12.3%,19,7.9%,76,12.9%,324,16.1%,-,-,-,-,-,-,
Other Condition,-,-,-,-,0,0.0%,-,-,223,6.9%,425,13.7%,17,7.0%,22,9.1%,89,15.1%,358,17.8%,-,-,-,-,-,-,
Location,Urban,54.8%,,53.8%,,57.9%,,55.1%,,79.1%,,81.6%,,80.7%,,69.3%,,84.1%,,83.8%,,-,,-,,-,
Rural,45.2%,,46.2%,,42.1%,,44.9%,,20.9%,,18.4%,,19.3%,,30.7%,,15.9%,,16.2%,,-,,-,,-,,
Speciality of MAID provider,Family Medicine,35,56.5%,29,74.4%,109,46.8%,141,71.9%,2649,82.2%,1641,52.9%,192,79.0%,49,20.3%,393,66.5%,1539,76.6%,-,-,-,-,-,-
Palliative Medicine,10,16.1%,-,-,10,4.3%,55,28.1%,215,6.7%,517,16.7%,0,0.0%,0,0.0%,16,2.7%,29,1.4%,-,-,-,-,-,-,
Anesthesiology,-,-,-,-,21,9.0%,-,-,33,1.0%,304,9.8%,0,0.0%,21,8.7%,-,-,71,3.5%,-,-,-,-,-,-,
Internal Medicine,-,-,-,-,-,-,-,-,113,3.5%,102,3.3%,0,0.0%,0,0.0%,-,-,68,3.4%,-,-,-,-,-,-,
Critical Care / Emergency Medicine,-,-,-,-,32,13.7%,-,-,30,0.9%,121,3.9%,0,0.0%,0,0.0%,10,1.7%,19,0.9%,-,-,-,-,-,-,
Oncology,-,-,-,-,-,-,-,-,57,1.8%,47,1.5%,0,0.0%,0,0.0%,15,2.5%,-,-,-,-,-,-,-,-,
Psychiatry,-,-,-,-,-,-,-,-,0,0.0%,0,0.0%,0,0.0%,58,24.1%,9,1.5%,-,-,-,-,-,-,-,-,
Other,-,-,-,-,16,6.9%,-,-,124,3.8%,72,2.3%,51,21.0%,6,2.5%,21,3.6%,15,0.7%,-,-,-,-,-,-,
Nurse Practitioner,-,-,-,-,38,16%,-,-,0,0.0%,296,9.5%,0,0.0%,107,44.4%,122,20.6%,260,12.9%,-,-,-,-,-,-,
Source of written request,Patient Directly,13,21.0%,32,82.1%,50,21.5%,96,49.0%,1016,31.5%,1133,36.5%,51,21.0%,181,75.1%,59,10.0%,329,16.4%,-,-,-,-,-,-
