Palliative Care Services,,,Disability Support Services,,
,Number,Percentage,,Number,Percentage
Persons who received palliative care services,"8,031",80.7%,Persons who required disability support services,"4,278",43.0%
Persons who did not receive palliative care services,"1,675",16.8%,Persons who did not require disability support services,"3,704",37.2%
Unknown,244,2.5%,Unknown,"1,968",19.8%
Persons who received disability support services,"3,741",87.4%,,,
Palliative care was accessible if needed,"1,474",88.0%,Persons who required but did not receive disability support services,179,4.2%
Disability support services were accessible if needed,131,73.2%,,,
Palliative Care - Duration,,,Disability Support - Duration,,
Less than 2 weeks,"1,720",21.4%,Less than 6 months,"1,544",41.3%
2 weeks to under 1 month,"1,400",17.4%,6 months or longer,"1,325",35.4%
1 month or more,"4,225",52.6%,Unknown,872,23.3%
Unknown,686,8.5%,,,
"Explanatory Notes: This chart represents MAID deaths where the report was received by Health Canada by January 31, 2022. For 2021, this represents 9,950 MAID deaths.",,,,,
