Did you consult with other health care professionals to inform your assessment? Select all that apply.,
,Percentage
Nurse,41.4%
Primary Care Provider,33.6%
Palliative Care Specialist,24.9%
Social Worker,23.9%
Other Physician,17.0%
Oncologist,12.4%
Psychiatrist,6.7%
Other Consultation,5.0%
Other - Record Review,3.4%
"Explanatory Notes: This chart represents MAID deaths where the report was received by Health Canada by January 31, 2022. For 2021, this represents 9,950 MAID deaths. ""Other physician"" included consultations with a wide range of over 30 medical specialties, the most common being internal medicine, neurologists, respirologists, treating physicians and geriatricians. Examples of entries in ""other consultation"" included psychologists, speech pathologists, spiritual care, and bio/medical ethicists.",
