What were the patient's reasons for withdrawing the request? Select all that apply.,
,Percentage
Changed their mind,62.3%
Palliative care measures are sufficient,38.5%
Other,12.1%
Family does not support MAID,7.4%
Unknown,4.3%
,
Withdrawal immediately before MAID,12.1%
"Explanatory Notes: This chart represents MAID data where the report was received by Health Canada by January 31, 2022. For 2021, this represents 12,286 written MAID requests including 231 cases where the individual withdrew their MAID request. Providers were able to select more than one reason for withdrawal; therefore, the total exceeds 100%.",
