Jursidiction,,NL,,PE,,NS,,NB,,QC,,ON,,MB,,SK,,AB,,BC,,YT,,NT,,NU,
Population,,"525,972",,"170,688",,"1,019,725",,"812,061",,"8,695,659",,"15,109,416",,"1,409,223",,"1,194,803",,"4,543,111",,"5,319,324",,"43,789",,"45,605",,"40,526",
Total Number of medically assisted deaths,,85,,41,,269,,224,,"4,710",,"3,934",,223,,256,,832,,"2,508",,16,,-,,-,-
Number of medically assisted deaths by setting,Hospital,28,32.9%,19,46.3%,82,30.5%,71,31.7%,1877,39.9%,859,21.8%,60,26.9%,76,29.7%,258,31.0%,655,26.1%,-,-,-,-,-,-
Private Residence,30,35.3%,9,22.0%,135,50.2%,88,39.3%,1415,30.0%,1892,48.1%,112,50.2%,98,38.3%,297,35.7%,1099,43.8%,-,-,-,-,-,-,
Palliative Care Facility,19,22.4%,7,17.1%,32,11.9%,54,24.1%,1145,24.3%,773,19.6%,30,13.5%,21,8.2%,150,18.0%,490,19.5%,-,-,-,-,-,-,
Residential Care Facility / Other,8,9.4%,6,14.6%,20,7.4%,11,4.9%,273,5.8%,410,10.4%,21,9.4%,61,23.8%,127,15.3%,264,10.5%,-,-,-,-,-,-,
Average age of person who received MAID,,74.9,,72.6,,75.5,,74.1,,76.3,,77.7,,76.4,,76.3,,75.7,,78.2,,77.7,,-,,-,
Age range of person receiving MAID,18-45,-,-,-,-,7,2.6%,-,-,53,1.1%,54,1.4%,6,2.7%,6,2.3%,16,1.9%,25,1.0%,-,-,-,-,-,-
46-55,-,-,-,-,10,3.7%,-,-,134,2.8%,128,3.3%,10,4.5%,9,3.5%,36,4.3%,74,3.0%,-,-,-,-,-,-,
56-64,13,15.3%,5,12.2%,34,12.6%,24,10.7%,489,10.4%,417,10.6%,26,11.7%,37,14.5%,94,11.3%,234,9.3%,-,-,-,-,-,-,
65-70,15,17.6%,6,14.6%,41,15.2%,48,21.4%,749,15.9%,478,12.2%,35,15.7%,31,12.1%,140,16.8%,339,13.5%,-,-,-,-,-,-,
71-75,14,16.5%,7,17.1%,39,14.5%,41,18.3%,776,16.5%,585,14.9%,30,13.5%,41,16.0%,123,14.8%,398,15.9%,-,-,-,-,-,-,
76-80,16,18.8%,8,19.5%,47,17.5%,38,17.0%,836,17.7%,588,14.9%,26,11.7%,35,13.7%,128,15.4%,336,13.4%,-,-,-,-,-,-,
81-85,6,7.1%,-,-,29,10.8%,27,12.1%,709,15.1%,581,14.8%,24,10.8%,31,12.1%,102,12.3%,375,15.0%,-,-,-,-,-,-,
86-90,13,15.3%,-,-,34,12.6%,20,8.9%,584,12.4%,534,13.6%,30,13.5%,31,12.1%,111,13.3%,330,13.2%,-,-,-,-,-,-,
91+,-,-,-,-,28,10.4%,13,5.8%,380,8.1%,569,14.5%,36,16.1%,35,13.7%,82,9.9%,397,15.8%,-,-,-,-,-,-,
Number of males / females receiving MAID,Males,50,58.8%,30,73.2%,146,54.3%,120,53.6%,2474,52.5%,1969,50.1%,114,51.1%,133,52.0%,433,52.0%,1255,50.0%,-,-,-,-,-,-
Females,35,41.2%,11,26.8%,123,45.7%,104,46.4%,2236,47.5%,1965,49.9%,109,48.9%,123,48.0%,399,48.0%,1253,50.0%,-,-,-,-,-,,
Most common reported underlying medical condition of patients who obtain a medically assisted death,Cancer-Related,60,70.6%,20,48.8%,180,66.9%,149,66.5%,3098,65.8%,2431,61.8%,132,59.2%,158,61.7%,502,60.3%,1508,60.1%,-,,-,,-,-
Neurological Condition,7,8.2%,6,14.6%,29,10.8%,27,12.1%,597,12.7%,410,10.4%,30,13.5%,37,14.5%,140,16.8%,363,14.5%,-,-,-,-,-,-,
Chronic Respiratory Disease,10,11.8%,6,14.6%,27,10.0%,22,9.8%,625,13.3%,485,12.3%,29,13.0%,51,19.9%,133,16.0%,336,13.4%,-,-,-,-,-,-,
Cardiovascular,-,-,8,19.5%,33,12.3%,26,11.6%,779,16.5%,759,19.3%,31,13.9%,62,24.2%,163,19.6%,599,23.9%,-,-,-,-,-,-,
Other Organ Failure,-,-,-,-,13,4.8%,14,6.3%,400,8.5%,246,6.3%,6,2.7%,28,10.9%,83,10.0%,270,10.8%,-,-,-,-,-,-,
Multiple Comorbidities,-,-,-,-,12,4.5%,11,4.9%,471,10.0%,196,5.0%,29,13.0%,27,10.5%,119,14.3%,450,17.9%,-,-,-,-,-,-,
Other Condition,-,-,-,-,22,8.2%,8,3.6%,393,8.3%,649,16.5%,17,7.6%,52,20.3%,161,19.4%,639,25.5%,-,-,-,-,-,-,
Location,Urban,65.9%,,53.7%,,55.8%,,53.6%,,79.9%,,79.2%,,84.3%,,73.0%,,84.3%,,82.4%,,-,,-,,-,
Rural,34.1%,,46.3%,,44.2%,,46.4%,,20.1%,,20.8%,,15.7%,,27.0%,,15.7%,,17.6%,,-,,-,,-,,
Speciality of MAID provider,Family Medicine,51,60.0%,34,82.9%,91,33.8%,157,70.1%,3838,81.5%,2067,52.5%,182,81.6%,47,18.4%,504,60.6%,1885,75.2%,-,-,-,-,-,-
Palliative Medicine,11,12.9%,-,-,-,-,67,29.9%,333,7.1%,587,14.9%,0,0.0%,0,0.0%,20,2.4%,18,0.7%,-,-,-,-,-,-,
Anesthesiology,-,-,-,-,13,4.8%,0,0.0%,90,1.9%,357,9.1%,0,0.0%,19,7.4%,0,0.0%,61,2.4%,-,-,-,-,-,-,
Internal Medicine,9,10.6%,-,-,-,-,0,0.0%,160,3.4%,150,3.8%,0,0.0%,0,0.0%,29,3.5%,63,2.5%,-,-,-,-,-,-,
Critical Care / Emergency Medicine,-,-,-,-,35,13.0%,0,0.0%,51,1.1%,169,4.3%,10,4.5%,0,0.0%,64,7.7%,15,0.6%,-,-,-,-,-,-,
Oncology,-,-,-,-,-,-,0,0.0%,76,1.6%,59,1.5%,0,0.0%,0,0.0%,14,1.7%,-,-,-,-,-,-,-,-,
Psychiatry,-,-,-,-,-,-,0,0.0%,0,0.0%,0,0.0%,0,0.0%,79,30.9%,16,1.9%,-,-,-,-,-,-,-,-,
Other,-,-,-,-,17,6.3%,0,0.0%,160,3.4%,96,2.4%,30,13.5%,6,2.3%,26,3.1%,55,2.2%,-,-,-,-,-,-,
Nurse Practitioner,-,-,-,-,103,38.3%,0,0.0%,0,0.0%,449,11.4%,0,0.0%,105,41.0%,159,19.1%,411,16.4%,-,-,-,-,-,-,
Source of written request,Patient Directly,15,17.6%,21,51.2%,44,16.4%,118,52.7%,1501,31.9%,1538,39.1%,35,15.7%,155,60.5%,88,10.6%,369,14.7%,-,-,-,-,-,-
