Type of suffering,Track 1 (%),Track 2 (%)
Loss of ability to engage in meaningful activities,95.5,96.3
Loss of ability to perform activities of daily living,87.3,83.1
Loss of dignity,64.9,70.4
"Inadequate pain control, or concern about it",54.4,58.5
Loss of independence,52.8,39.1
"Perceived burden on family, friends and caregivers",45.1,49.2
"Inadequate control of other symptoms, or concern about it",41.8,31.2
"Emotional distress, anxiety, fear or existential suffering",38.5,35.0
Loss of control of bodily functions,33.4,32.2
Isolation or loneliness,21.1,47.1
Other,3.6,4.8
