Marginalization,Track,Marginalization quintiles,,,,
1 (least deprived),2,3,4,5 (most deprived),,
Economic dependency,Track 1(%),24.0,25.2,23.0,17.4,10.4
Track 2 (%),27.0,26.4,20.8,19.3,6.4,
All deaths in 2023 (%),14.0,16.0,18.4,20.9,30.6,
Residential instability,Track 1(%),12.3,16.5,19.1,22.3,29.8
Track 2 (%),9.2,12.1,17.5,21.5,39.7,
All deaths in 2023 (%),13.9,16.7,19.0,22.5,27.8,
Situational vulnerability,Track 1(%),27.3,21.5,19.0,17.9,14.3
Track 2 (%),25.6,19.3,20.5,17.9,16.7,
All deaths in 2023 (%),21.1,19.0,19.7,19.7,20.5,
