Reason for natural death before MAID could be provided,"Days between request and death, median","Frequency of responses, count"
Person never chose a date to proceed with MAID provision,32,795
"Operational issues (i.e., could not be moved to a facility that allowed MAID, medication shortages, bed shortages, health care personnel unavailable)",24,24
Person was found eligible but died before scheduled MAID provision,16,864
Other,15,145
Loss of capacity to consent without a waiver of final consent being completed,13,84
Person died before both assessments were completed,7,503
No assessor/provider available/willing,6,19
Person was referred or requested MAID too late (i.e. referral time was too short),4,319
Lack of pharmacy willing to provide MAID medications,X,X
Table 2.3c Footnote a X suppressed to meet confidentiality requirements Table 2.3c Return to footnote a referrer,,
