,Track 1,,Track 2,
Prevalence of disability among people who received MAID,,,,
,Count,,Count,
Self-reported having a disability,"3,423",,210,
Total respondents to the self-identified disability question,"10,221",,360,
,Percent (%),,Percent (%),
"Percentage of people reporting a disability, out of respondents",33.5,,58.3,
Characteristics of those self-identifying as having a disability,,,,
,Count,Percent (%),Count,Percent (%)
Sex,,,,
Male,"1,669",48.8,95,45.2
Female,"1,754",51.2,115,54.8
Age,,,,
18 to 44,45,1.3,10,4.8
45 to 54,82,2.4,19,9.0
55 to 64,349,10.2,31,14.8
65 to 74,768,22.4,59,28.1
75 to 84,"1,009",29.5,54,25.7
85 and older,"1,169",34.2,37,17.6
Required disability support services,,,,
Yes,"2,342",68.4,159,75.7
No,646,18.9,34,16.2
Do not know,435,12.7,17,8.1
Table 4.4a Footnote a Not all people who received MAID responded to this question. Table 4.4a Return to footnote a referrer,,,,
