"Requirement for, and receipt of, palliative care services",Number of persons,Percentage of all MAID provisions (%),Duration or accessibility of palliative care,Number of persons,Percentage of all MAID provision (%)
Required and received,"11,510",75.0,Duration of palliative care for those who received it,,
Less than one month,"4,792",31.2,,,
One month or more,"5,712",37.2,,,
Unknown length,"1,006",6.6,,,
"Required, did not receive",431,2.8,Accessibility of palliative care for those who did not receive it,,
Care was not accessible,6,< 0.1,,,
Care was accessible,347,2.3,,,
Unknown if care was accessible,78,0.5,,,
Other,"3,402",22.2,Unknown if required,"1,139",7.4
Did not require care,"2,263",14.7,,,
Total,"15,343",100%,,"15,343",100%
