"Requirement for, and receipt of, disability support services",Number of persons,Percentage of all MAID provisions (%),Duration or accessibility of disability support,Number of persons,Percentage of all MAID provisions (%)
Required and received,"5,181",33.8,Duration of disability support services for those who received them,,
Less than one year,"2,570",16.8,,,
One year or more,"1,669",10.9,,,
Unknown length,942,6.1,,,
"Required, did not receive",432,2.8,Accessibility of disability support services for those who did not receive them,,
Care was not accessible,5,< 0.1,,,
Care was accessible,158,1.0,,,
Unknown if care was accessible,269,1.8,,,
Other,"9,730",63.4,Unknown if required,"3,104",20.2
Did not require care,"6,626",43.2,,,
Total,"15,343",100%,,"15,343",100%
