Type of disability support service,"Track 1, count","Track 2, count"
Mobility aids,"3,269",180
"Physical support, e.g., personal support worker, occupational therapist","2,584",140
Safety aids,"2,220",117
Visibility aids,529,31
Mental health or social support,360,50
Other,308,18
Income support,243,43
Dependent on life sustaining treatments,119,X
Meal preparation and housekeeping,11,X
Table 5.1a Footnote a X suppressed to meet confidentiality requirements Table 5.1a Return to footnote a referrer,,
