Place of residence,Living arrangement of those living in private residences,"Track 1, percent (%)","Track 2, percent (%)"
Private residence,Living alone,30.2,35.7
"Living with family (partner, children, parents)",45.9,32.8,
Living with non-relatives,1.4,1.3,
Living with relatives,2.3,1.8,
Do not know,3.9,3.4,
Residential care facility,-,6.1,12.9
Palliative care facility,-,3.9,1.0
Institution,-,2.0,4.4
"Other, no fixed address",-,4.3,6.7
Total,,100%,100%
"Table 5.2a Footnote a includes retirement homes Table 5.2a Return to footnote a referrer Table 5.2a Footnote b includes long-term care facilities Table 5.2a Return to footnote b referrer Table 5.2a Footnote c includes hospital-based palliative care beds/units and hospices Table 5.2a Return to footnote c referrer Table 5.2a Footnote d includes hospitals (excluding palliative care beds/ units), shelters/group homes and correctional facilities/prisons Table 5.2a Return to footnote d referrer",,,
