Medical specialty,"First or second assessing practitioner, percent (%)","Third opinion required, percent (%)"
Pain management,21.8,17.0
Geriatric medicine,12.8,12.3
General internal medicine,11.8,X
Neurology,12.1,29.2
Psychiatry,5.2,11.3
Nephrology,0.0,X
Cardiology,X,0.0
Respiratory medicine,X,X
Other specialty,54.3,38.7
Table 6.1a Footnote a More than one option could be selected. Totals will exceed 100% Table 6.1a Return to footnote a referrer Table 6.1a Footnote b X suppressed to meet confidentiality requirements Table 6.1a Return to footnote b referrer,,
