Province or territory,"Request made and withdrawn in 2023, count","Requests made in 2023 that were deemed ineligible in 2023, count","Requests made in 2023 where the person died of another cause in 2023, count"
N.L.,X,7,14
P.E.I.,0,X,9
N.S.,X,X,53
N.B.,X,8,41
Que.,266,415,881
Ont.,90,143,751
Man.,15,36,119
Sask.,67,83,100
Alta.,27,83,364
B.C.,24,136,565
Y.T.,X,X,X
N.W.T.,0,0,X
Nvt.,0,0,0
Table D.1 Footnote a X suppressed to meet confidentiality requirements Table D.1 Return to footnote a referrer,,,
