Province,"Cancer, count","Neurological conditions, count","Respiratory disease, count","Cardiovascular conditions, count","Organ failure, count","Other conditions, count"
N.L.,50,7,8,X,X,8
P.E.I.,32,X,6,X,X,X
N.S.,213,51,34,54,26,73
N.B.,194,38,27,29,15,45
Que.,"3,590",770,756,678,476,"1,080"
Ont.,"2,785",675,713,903,327,"1,024"
Man.,139,31,22,30,X,37
Sask.,244,52,74,94,34,149
Alta.,618,151,141,164,85,343
B.C.,"1,596",504,504,540,330,"1,496"
Table D.2 Footnote a X suppressed to meet confidentiality requirements Table D.2 Return to footnote a referrer,,,,,,
