Province,"Track 1 provisions, percent (%)","Female, percent (%)","Caucasian, percent (%)","Reporting having a disability, Track 1, percent (%)","Reporting having a disability, Track 2, percent (%)"
N.L.,X,47.2,100.0,58.3,X
P.E.I.,X,47.7,97.7,37.5,X
N.S.,97.5,45.1,99.0,43.5,66.7
N.B.,93.0,44.8,99.0,23.4,81.0
Que.,94.1,47.2,98.9,14.2,53.7
Ont.,97.5,49.6,94.7,24.3,62.9
Man.,X,51.5,94.0,33.1,X
Sask.,X,52.6,97.0,82.7,X
Alta.,94.2,48.2,98.0,12.8,7.7
B.C.,97.2,51.3,94.7,59.4,64.3
Table D.3 Footnote a X suppressed to meet confidentiality requirements Table D.3 Return to footnote a referrer,,,,,
