Province,All MAID provisions,,Track 1,,Track 2,
Median,Average,Median,Average,Median,Average,
N.L.,72.0,71.4,72.1,71.8,X,X
P.E.I.,75.5,72.3,75.4,71.8,X,X
N.S.,76.5,75.5,76.6,75.6,76.5,69.5
N.B.,74.0,73.5,74.3,73.7,74.0,71.4
Que.,77.0,76.6,77.0,76.6,77.0,75.4
Ont.,78.6,77.8,78.7,77.9,78.6,73.9
Man.,78.9,78.1,79.0,78.3,X,X
Sask.,75.4,75.6,75.6,75.7,X,X
Alta.,76.4,75.2,76.7,75.7,76.4,68.2
B.C.,79.1,78.3,79.4,78.6,79.1,69.4
Table D.4 Footnote a X suppressed to meet confidentiality requirements Table D.4 Return to footnote a referrer,,,,,,
