Province,"Hospital, count","Palliative care facility, count","Residential care facility, count","Private residence, count","Other, count"
N.L.,X,X,9,52,0
P.E.I.,7,X,X,33,X
N.S.,12,X,20,314,X
N.B.,32,34,14,217,24
Que.,57,79,81,"1,521",17
Ont.,43,107,251,"4,226",0
Man.,18,12,16,181,18
Sask.,12,12,39,263,33
Alta.,7,80,127,625,425
B.C.,23,85,162,"1,991",0
"Table D.5 Footnote a excludes palliative care beds or units Table D.5 Return to footnote a referrer Table D.5 Footnote b includes hospital-based palliative care beds/units and hospices Table D.5 Return to footnote b referrer Table D.5 Footnote c includes long-term care facilities Table D.5 Return to footnote c referrer Table D.5 Footnote d includes retirement homes Table D.5 Return to footnote d referrer Table D.5 Footnote e includes (1) correctional facilities/prisons, (2) shelter/group homes, (3) do not know, (4) no fixed address, and (5) other places that do not fall into any of these groups Table D.5 Return to footnote e referrer Table D.5 Footnote f X suppressed to meet confidentiality requirements Table D.5 Return to footnote f referrer",,,,,
