Province,"Required and received, percent (%)","Required but did not receive, percent (%)","Unknown or did not require, percent (%)"
Disability support services,,,
N.L.,X,X,63.9
P.E.I.,22.7,0.0,77.3
N.S.,X,X,75.2
N.B.,X,X,87.0
Que.,12.8,0.4,86.7
Ont.,47.5,0.9,51.6
Man.,19.8,0.0,80.2
Sask.,65.1,3.5,31.4
Alta.,38.4,1.7,59.9
B.C.,52.3,2.4,45.4
Palliative care services,,,
N.L.,76.4,X,X
P.E.I.,84.1,X,X
N.S.,55.7,X,X
N.B.,71.9,X,X
Que.,79.9,0.3,19.7
Ont.,78.8,1.0,20.2
Man.,70.0,X,X
Sask.,61.0,4.9,34.0
Alta.,69.8,16.2,14.0
B.C.,65.2,3.8,30.9
Table D.6 Footnote a X suppressed to meet confidentiality requirements Table D.6 Return to footnote a referrer,,,
