Province,"Unique practitioners, count","Unique practitioners that are physicians, percent (%)","Practitioners performing 1 provision, percent (%)","Practitioners performing 2 to 10 provisions, percent (%)","Practitioners performing 11 or more provisions, percent (%)"
N.L.,34,X,50,50,0
P.E.I.,11,X,X,63.6,X
N.S.,61,77.1,X,57.4,X
N.B.,43,X,39.5,37.2,23.3
Que.,"1,197",100.0,47.0,43.3,9.7
Ont.,472,89.8,24.2,52.7,23.0
Man.,20,100.0,X,40.0,X
Sask.,42,76.2,19.0,66.7,14.3
Alta.,118,86.4,22.9,49.1,28.0
B.C.,199,86.4,18.6,44.2,37.2
Table D.7 Footnote a X suppressed to meet confidentiality requirements Table D.7 Return to footnote a referrer,,,,,
