Province,"Hospital, count","Palliative care facility, count","Residential care facility, count","Private residence, count","Other, count"
N.L.,28,19,7,18,X
P.E.I.,20,X,0,18,X
N.S.,133,51,19,152,X
N.B.,73,109,12,105,X
Que.,"2,170","1,479",316,"1,612",24
Ont.,"1,315",825,198,"2,208",98
Man.,78,48,X,88,X
Sask.,142,39,34,119,10
Alta.,317,153,126,356,25
B.C.,743,608,216,"1,115",79
"Table D.8 Footnote a excludes palliative care beds or units Table D.8 Return to footnote a referrer Table D.8 Footnote b includes hospital-based palliative care beds/units and hospices Table D.8 Return to footnote b referrer Table D.8 Footnote c includes long-term care facilities Table D.8 Return to footnote c referrer Table D.8 Footnote d includes retirement homes Table D.8 Return to footnote d referrer Table D.8 Footnote e includes (1) community provision spaces, (2) funeral homes, (3) hotel, rental, or recreational spaces, (4) non-hospital and community care, and (5) other places that do not fall into any of these groups Table D.8 Return to footnote e referrer Table D.8 Footnote f X suppressed to meet confidentiality requirements Table D.8 Return to footnote f referrer",,,,,
