Type of palliative care services received,"Responses, count"
Pain symptom management,"7,741"
Personal support services,"3,658"
Psychosocial care and or counselling,"1,563"
Palliative chemotherapy,"1,110"
Palliative radiation therapy,968
Spiritual care and or counselling,838
Occupational therapy,730
Physiotherapy,566
Other,524
Volunteer services,367
Do not know,378
Dependent on life sustaining treatment,125
Nutritional,51
End of life care,21
Surgery,16
Speech language pathology,15
Equipment,11
