Nature of suffering,Track 1 (%),Track 2 (%)
Loss of ability to engage in meaningful activities,95.1,97.5
Loss of ability to perform activities of daily living,85.4,85.1
Loss of independence,75.4,78.7
Loss of dignity,63.5,73.9
Emotional distress/anxiety/fear/existential suffering,57.9,63.3
"Inadequate pain control, or concern about it",55.9,59.8
"Inadequate control of other symptoms, or concern about it",57.0,43.6
"Perceived burden on family, friends or caregivers",48.4,50.3
Isolation or loneliness,21.9,44.7
Loss of control of bodily functions,32.1,31.8
Other,2.9,2.7
