"Practitioner indicated ""no"" to the following eligibility requirements",All cases,,Track 1,,Track 2,,Did not assess track,
Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%),
Was the person capable of making decisions with respect to their health?,425,32.0,281,47.9,48,15.0,96,22.9
"Did the person's illness, disease or disability, or their state of decline cause them enduring physical or psychological suffering that was intolerable to them and could not be relieved under conditions that they considered acceptable?",402,30.3,155,26.4,137,42.7,110,26.3
Was the person in an advanced state of irreversible decline in capability?,399,30.1,85,14.5,186,57.9,128,30.5
"Did the person give informed consent to receive MAID after having been informed of the means that are available to relieve their suffering, including palliative care?",306,23.1,198,33.7,58,18.1,50,11.9
"Did the person have a serious and incurable illness, disease or disability?",291,21.9,21,3.6,153,47.7,117,27.9
"Did the person make a voluntary request for MAID that, in particular, was not made as a result of external pressure?",45,3.4,21,3.6,9,2.8,15,3.6
Was the person eligible for health service funded by a government in Canada?,17,1.3,6,1.0,6,1.9,5,1.2
Was the person at least 18 years of age?,5,0.4,X,X,X,X,0,0.0
Total,1309,-,584,-,321,-,404,-
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer Footnote b More than one option could be selected. Totals will exceed 100%. Return to footnote b referrer",,,,,,,,
