Reason for natural death before MAID could be provided,"Days between request and death, median",Response,
Count,Percent (%),,
Person never chose a date to proceed with MAID provision,45.0,"1,661",41.8
Person was found eligible but died before scheduled MAID provision,19.0,"1,502",37.8
Person died before both assessments were completed,7.0,752,18.9
"Person was referred or requested MAID too late (i.e., referral time was too short)",4.0,353,8.9
Other,27.0,253,6.4
Loss of capacity to consent without a waiver of final consent being completed,14.5,107,2.7
"Operational issues (i.e., could not be moved to a facility that allowed MAID, medication shortages, bed shortages, health care personnel unavailable)",19.0,34,0.9
No assessor/provider available/willing,23.0,12,0.3
Lack of pharmacy willing to provide MAID medications,10.5,6,0.2
Total,NA,"3,973",-
Footnote a More than one option could be selected. Totals will exceed 100%. Return to footnote a referrer,,,
