Characteristic,Track 1,,Track 2,
Count,Percent (%),Count,Percent (%),
Age,,,,
18-44,64,1.3,21,4.8
45-54,127,2.6,26,5.9
55-64,477,9.8,71,16.2
65-74,"1,107",22.8,101,23.1
75-84,"1,510",31.1,125,28.6
85 and older,"1,572",32.4,93,21.3
Sex,,,,
Male,"2,466",50.8,194,44.4
Female,"2,390",49.2,243,55.6
Required disability support services,,,,
Yes,"3,114",64.1,296,67.7
No,"1,083",22.3,103,23.6
Do not know,661,13.6,38,8.7
"Footnote a The definition used in Health Canada's guidance is ""a functional limitation in any one of the following ten areas, which cannot be corrected with the use of aids : seeing, hearing, mobility, flexibility, dexterity, pain-related, learning, developmental, mental health related or memory."" Return to footnote a referrer",,,,
