"Requirement for, and receipt of, palliative care services",Number of persons,Percentage of all MAID provisions (%),Duration or accessibility of palliative care services,Number of persons,Percentage of all MAID provisions (%)
Required and received,"12,221",74.1,Duration of palliative care for those who received it,,
Less than 1 month,"5,370",32.5,,,
1 month or more,"6,175",37.4,,,
Unknown length,676,4.1,,,
"Required, did not receive",410,2.5,Accessibility of palliative care for those who did not receive it,,
Care was accessible,374,2.3,,,
Care was not accessible,14,0.1,,,
Unknown if care was accessible,22,0.1,,,
Other,"3,868",23.4,Unknown if required,327,2.0
Did not require,"3,442",20.9,,,
"Required, unknown if received",99,0.6,,,
Total,"16,499",100.0,NA,"16,499",100.0
