Palliative care required/ received,Cancer,,Neurological,,Respiratory,,Cardiovascular,,Other,
Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%),
Required and received,"8,786",87.3,998,43.8,"1,569",70.6,"1,739",62.1,"3,316",60.5
"Required, not received, was accessible",192,1.9,66,2.9,45,2.0,90,3.2,187,3.4
"Required, not received, not accessible",7,0.1,X,X,X,X,X,X,6,0.1
"Required, not received, unknown if accessible",7,0.1,X,X,X,X,9,0.3,14,0.3
"Required, unknown if received",65,0.6,12,0.5,11,0.5,16,0.6,35,0.6
Not required,890,8.8,"1,122",49.3,526,23.7,856,30.6,"1,750",31.9
Unknown if required,118,1.2,74,3.2,65,2.9,88,3.1,171,3.1
Total,"10,065",100.0,"2,278",100.0,"2,222",100.0,"2,799",100.0,"5,479",100.0
"Footnote a Organ failure has been added to the ""other"" conditions category. See Appendix B for more information. Return to footnote a referrer Footnote b ""X"" suppressed to meet confidentiality requirements Return to footnote b referrer",,,,,,,,,,
