"Requirement for, and receipt of, disability support services",Number of persons,Percentage of all MAID provisions (%),Duration or accessibility of disability support,Number of persons,Percentage of all MAID provisions (%)
Required and received,"5,359",32.5,Duration of disability support services for those who received them,,
Less than 1 year,"2,683",16.3,,,
1 year or more,"1,838",11.1,,,
Unknown length,838,5.1,,,
"Required, did not receive",163,0.1,Accessibility of disability support services for those who did not receive them,,
Care was accessible,149,0.9,,,
Care was not accessible,X,X,,,
Unknown if care was accessible,X,X,,,
Other,"10,977",66.5,Unknown if required,"2,802",17.0
Did not require,"7,936",48.1,,,
"Required, unknown if received",239,1.5,,,
Total,"16,499",100.0,NA,"16,499",100.0
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,,
