Support services required/ received,Cancer,,Neurological,,Respiratory,,Cardiovascular,,Other,
Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%),
Received,"2,511",24.9,"1,233",54.1,852,38.3,"1,244",44.4,"2,550",46.5
"Required, not received, was accessible",X,X,26,"1,1",X,X,X,X,69,1.3
"Required, not received, not accessible",0,0.0,X,X,0,0.0,0,0.0,0,0.0
"Required, not received, unknown if accessible",X,X,X,X,X,X,X,X,7,0.1
"Required, unknown if received",140,1.4,40,1.8,38,1.7,42,1.5,77,1.4
Not required,"5,551",55.2,664,29.1,906,40.8,"1,038",37.1,"1,935",35.3
Unknown if required,"1,772",17.6,310,13.6,408,18.4,446,15.9,841,15.3
Total,"10,065",100.0,"2,278",100.0,"2,222",100.0,"2,799",100.0,"5,479",100.0
"Footnote a Organ failure has been added to the ""other"" conditions category. See Appendix B for more information. Return to footnote a referrer Footnote b ""X"" suppressed to meet confidentiality requirements Return to footnote b referrer",,,,,,,,,,
