Place of residence,Living arrangement of those living in private residences,Track 1,,Track 2,
Count,Percent (%),Count,Percent (%),,
Private residence,Living alone,"5,007",32.5,296,41.7
"Living with family (partner, children, parents)","7,594",49.3,217,30.6,
Living with non-relatives,251,1.6,24,3.4,
Living with relatives,400,2.6,22,3.1,
Private residence - other,38,0.2,X,X,
Do not know,334,2.2,17,2.4,
Residential care facility,NA,678,4.4,99,14.0
Palliative care facility,NA,578,3.8,9,1.3
Institutions,NA,345,2.2,16,2.3
Other,NA,22,0.1,6,0.8
Do not know,NA,161,1.0,X,X
Total,,"15,408",100.0,709,100.0
"Footnote a Includes retirement homes Return to footnote a referrer Footnote b Includes relations other than partner, children or parents Return to footnote b referrer Footnote c ""X"" suppressed to meet confidentiality requirements Return to footnote c referrer Footnote d Includes long-term care facilities Return to footnote d referrer Footnote e Includes hospital-based palliative care beds/units and hospices Return to footnote e referrer Footnote f Includes hospitals, correctional facilities/prisons as well as shelters/group homes; excludes palliative care beds/units Return to footnote f referrer",,,,,
