Ways that practitioners formed the opinion that serious consideration had been given to means to relieve suffering,Track 2,
Count,Percent (%),
Consultation with person,719,98.2
Consultation with family/friends,459,62.7
Consultation with professional care/medical providers,420,57.4
Accepted/attempted multiple treatments appropriate for the condition,405,55.3
Review of medical records,508,69.4
Receptive to discussion on available means to relieve suffering,364,49.7
Previous knowledge of person,154,21.0
Other,17,2.3
Total,732,-
Footnote a More than one option could be selected. Totals will exceed 100%. Return to footnote a referrer,,
