Medical specialty,First or second assessing practitioner,,Third opinion required,
Count,Percent (%),Count,Percent (%),
Pain management,148,21.4,31,15.1
Neurology,95,13.8,54,26.3
Geriatric medicine,91,13.2,13,6.3
General internal medicine,33,4.8,9,4.4
Psychiatry,18,2.6,19,9.3
Respiratory medicine,13,1.9,0,0.0
Cardiology,X,X,X,X
Oncology,X,X,X,X
Nephrology,X,X,0,0.0
Other,285,41.3,72,35.1
Total,570,-,161,-
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer Footnote b ""Other"" includes family medicine, palliative care, rehabilitation/physiotherapy, surgery Return to footnote b referrer Footnote c More than one option could be selected. Totals will exceed 100% Return to footnote c referrer",,,,
