Province or territory,MAID provisions within the province that involved a transfer,,MAID transfers within the province due to policies of the facility where the person was located,
Count,Percent (%),Count,Percent (%),
N.L.,12,11.1,X,X
P.E.I.,X,X,X,X
N.S.,22,4.9,8,36.4
N.B.,33,11.7,7,21.2
Que.,530,8.8,22,4.2
Ont.,359,7.3,124,34.5
Man.,22,11.8,17,77.3
Sask.,48,14.1,25,52.1
Alta.,110,9.9,81,73.6
B.C.,201,6.7,64,31.8
Yuk.,X,X,0,0.0
N.W.T.,X,X,0,0.0
Nvt.,0,0.0,0,0.0
Total,"1,343",100.0,349,100.0
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,
