,MAID provisions in 2024,,Requests that were withdrawn in 2024,,Requests where individual was deemed ineligible in 2024,,Requests where individual died of another cause in 2024,
Province or territory,Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%)
N.L.,108,0.7,0,0.0,5,0.4,35,0.9
P.E.I.,57,0.3,0,0.0,X,X,17,0.4
N.S.,445,2.7,X,X,5,0.4,93,2.3
N.B.,283,1.7,X,X,10,0.8,61,1.5
Que.,"5,998",36.4,409,59.1,612,46.1,"1,164",29.0
Ont.,"4,944",30.0,99,14.3,178,13.4,878,21.9
Man.,186,1.1,41,5.9,175,13.2,146,3.6
Sask.,341,2.1,48,6.9,86,6.5,166,4.1
Alta.,"1,117",6.8,35,5.1,86,6.5,492,12.2
B.C.,"2,997",18.2,56,8.1,167,12.6,957,23.8
Yuk.,14,0.1,0,0.0,0,0.0,X,X
N.W.T.,X,X,X,X,X,X,X,X
Nvt.,X,X,0,0.0,X,X,0,0.0
Total,"16,499",100.0,692,100.0,"1,327",100.0,"4,017",100.0
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,,,,,
