Province or territory,Hospital,,Palliative care facility,,,Residential care facility,,Private residence,,Other,
Count,Percent (%),Count,Percent (%),,Count,Percent (%),Count,Percent (%),Count,Percent (%),
N.L.,39,36.1,27,,25.0,7,6.5,33,30.6,X,X
P.E.I.,26,45.6,9,,15.8,0,0,22,38.6,0,0
N.S.,140,31.5,83,,18.7,19,4.3,198,44.5,5,1.1
N.B.,82,29.0,92,,32.5,13,4.6,95,33.6,X,X
Que.,"2,103",35.1,"1,841",,30.7,345,5.8,"1,688",28.1,18,0.3
Ont.,"1,297",26.2,987,,20.0,148,3.0,"2,376",48.1,136,2.8
Man.,65,34.9,39,,21.0,8,4.3,73,39.2,X,X
Sask.,144,42.2,35,,10.3,34,10.0,110,32.3,18,5.3
Alta.,363,32.5,291,,26.1,86,7.7,368,32.9,9,0.8
B.C.,799,26.7,702,,23.4,233,7.8,"1,177",39.3,86,2.9
Yuk.,6,42.9,X,,X,X,X,X,X,0,0
N.W.T.,5,71.4,0,,0,X,X,X,X,0,0
Nvt.,0,0,0,,0,0,0,X,X,X,X
"Footnote a Excludes palliative care beds or units Return to footnote a referrer Footnote b Includes hospital-based palliative care beds/units and hospices Return to footnote b referrer Footnote c Includes long-term care facilities Return to footnote c referrer Footnote d Includes retirement homes Return to footnote d referrer Footnote e Includes (1) community provision spaces, (2) funeral homes, (3) hotel, rental, or recreational spaces, (4) non-hospital and community care, and (5) other places that do not fall into any of these groups Return to footnote e referrer Footnote f ""X"" suppressed to meet confidentiality requirements Return to footnote f referrer",,,,,,,,,,,
