Province or territory,Total,,,Track 1,,,Track 2,,
Count,Median age,Mean age,Count,Median age,Mean age,Count,Median age,Mean age,
N.L.,108,76.6,74.8,X,X,X,X,X,X
P.E.I.,57,73.7,71.8,57,73.7,71.8,0,0.0,0.0
N.S.,445,76.6,75.7,439,76.7,75.8,6,71.7,72.0
N.B.,283,74.5,81.2,263,74.6,81.9,20,71.8,72.1
Que.,"5,998",77.4,76.8,"5,546",77.4,76.8,452,77.2,75.9
Ont.,"4,944",78.7,77.8,"4,824",78.8,78.0,120,75.8,73.5
Man.,186,77.0,76.9,X,X,X,X,X,X
Sask.,341,76.9,76.6,332,77.1,76.5,9,75.6,77.9
Alta.,"1,117",76.3,75.7,"1,066",76.5,76.0,51,69.2,68.8
B.C.,"2,997",79.6,78.7,"2,932",79.7,78.9,65,74.1,69.9
Yuk.,14,69.5,67.1,X,X,X,X,X,X
N.W.T.,X,X,X,X,X,X,X,X,X
Nvt.,X,X,X,X,X,X,0,0.0,0.0
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,,,,,,
