Province or territory,Cancer,Neurological,Respiratory,Cardiovascular,Organ failure,Other
N.L.,69,15,10,16,X,12
P.E.I.,40,10,6,X,X,5
N.S.,273,69,53,63,36,70
N.B.,171,31,31,37,20,55
Que.,"3,686",862,798,782,413,815
Ont.,"3,025",609,757,961,318,"1,109"
Man.,112,28,20,21,7,33
Sask.,222,53,74,98,42,161
Alta.,702,156,95,177,44,382
B.C.,"1,754",441,373,636,287,"1,655"
Yuk.,6,X,5,X,X,X
N.W.T.,X,X,0,0,0,X
Nvt.,X,0,0,X,0,X
Total,"10,065","2,278","2,222","2,799","1,175","4,304"
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,,,
