Province or territory,Female,,Caucasian,,"Reporting having a disability, Track 1",,"Reporting having a disability, Track 2",
Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%),
N.L.,49,45.4,94,87.0,64,60.4,X,X
P.E.I.,29,50.9,53,93.0,22,38.6,0,0.0
N.S.,196,44.0,411,92.4,152,34.6,X,X
N.B.,138,48.8,275,97.2,56,21.3,16,80.0
Que.,"2,821",47.0,"5,090",84.9,663,12.0,224,49.6
Ont.,"2,414",48.8,"4,470",90.4,"1,189",24.6,88,73.3
Man.,83,44.6,161,86.6,82,45.1,X,X
Sask.,168,49.3,324,95.0,293,88.3,8,88.9
Alta.,540,48.3,794,71.1,429,40.2,34,66.7
B.C.,"1,505",50.2,"2,530",84.4,"1,895",64.6,54,83.1
Yuk.,7,50.0,8,57.1,7,58.3,X,X
N.W.T.,X,X,5,71.4,6,100.0,X,X
Nvt.,X,X,X,X,0,0.0,0,0.0
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,,,,,
