Province or territory,Required and received,,Required but did not receive,,Not required,,Unknown received/required,
Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%),
N.L.,85,78.7,X,X,17,15.7,X,X
P.E.I.,50,87.7,0,0.0,X,X,X,X
N.S.,270,60.7,5,1.1,138,31.0,32,7.2
N.B.,199,70.3,0,0.0,83,29.3,X,X
Que.,"4,525",75.4,55,0.9,"1,293",21.6,125,2.1
Ont.,"4,039",81.7,61,1.2,796,16.1,48,1.0
Man.,130,69.9,X,X,48,25.8,X,X
Sask.,181,53.1,53,15.5,96,28.2,11,3.2
Alta.,725,64.9,123,11.0,192,17.2,77,6.9
B.C.,"1,999",66.7,103,3.4,770,25.7,125,4.2
Yuk.,11,78.6,0,0.0,X,X,X,X
N.W.T.,X,X,X,X,0,0.0,0,0.0
Nvt.,X,X,X,X,0,0.0,0,0.0
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,,,,,
