Province or territory,Required and received,,Required but did not receive,,Not required,,Unknown received/required,
Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%),
N.L.,32,29.6,X,X,44,40.7,29,26.9
P.E.I.,12,21.1,X,X,36,63.2,X,X
N.S.,93,20.9,X,X,234,52.6,115,25.8
N.B.,38,13.4,X,X,202,71.4,40,14.1
Que.,662,11.0,12,0.2,"4,164",69.4,"1,160",19.3
Ont.,"2,227",45.0,49,1.0,"1,699",34.4,969,19.6
Man.,56,30.1,X,X,51,27.4,78,41.9
Sask.,283,83.0,23,6.7,34,10.0,X,X
Alta.,380,34.0,16,1.4,402,36.0,319,28.6
B.C.,"1,563",52.2,51,1.7,"1,061",35.4,322,10.7
Yuk.,7,50.0,X,X,6,42.9,0,0.0
N.W.T.,6,85.7,0,0.0,X,X,0,0.0
Nvt.,0,0.0,0,0.0,X,X,0,0.0
Footnote a “X” suppressed to meet confidentiality requirements Return to footnote a referrer,,,,,,,,
