Province or territory,Hospital,Palliative care facility,Private residence,Residential care facility,Do not know,Other
N.L.,X,8,86,10,0,0
P.E.I.,X,X,54,0,0,0
N.S.,21,10,388,24,X,X
N.B.,23,28,214,17,0,X
Que.,165,297,"5,181",252,70,30
Ont.,36,71,"4,641",177,5,14
Man.,6,X,165,11,0,0
Sask.,24,11,263,38,X,X
Alta.,31,58,662,84,38,8
B.C.,23,99,"2,529",162,45,11
Yuk.,0,0,12,X,0,0
N.W.T.,X,0,6,0,0,0
Nvt.,0,0,X,0,0,0
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,,,
