Province or territory,Unique practitioners,Unique practitioners that are physicians,Practitioners performing 1 provision,,Practitioners performing 2-10 provisions,,Practitioners performing 11+ provisions,
Count,Percent (%),Count,Percent (%),Count,Percent (%),Count,Percent (%),
N.L.,31,90.3,12,38.7,18,58.1,X,X
P.E.I.,12,100.0,X,X,7,58.3,X,X
N.S.,54,76.7,15,27.8,30,55.6,9,16.7
N.B.,40,95.0,11,27.5,20,50.0,9,22.5
Que.,"1,261",97.3,556,44.1,580,46.0,125,9.9
Ont.,482,89.6,104,21.6,265,55.0,113,23.4
Man.,20,95.0,X,X,12,60.0,X,X
Sask.,41,71.4,11,26.8,23,56.1,7,17.1
Alta.,127,85.0,29,22.8,61,48.0,37,29.1
B.C.,195,86.7,32,16.4,92,47.2,71,36.4
Yuk.,6,100.0,X,X,X,X,0,0.0
N.W.T.,X,X,X,X,X,X,0,0.0
Nvt.,X,X,X,X,0,0.0,0,0.0
"Footnote a ""X"" suppressed to meet confidentiality requirements Return to footnote a referrer",,,,,,,,
