Outcome of previous MAID request,Track 1,,Track 2,
Count,Percent (%),Count,Percent (%),
Assessed and found ineligible,132,29.7,20,37.0
Assessed and found eligible but person withdrew request,63,14.2,11,20.4
Assessed and found eligible but considerable time elapsed since the assessment,45,10.1,X,X
Request not actioned,98,22.1,11,20.4
Other,40,9.0,X,X
Patient did not complete assessment,49,11.0,7,13.0
Unable to find provider,16,3.6,0,0.0
Total,443,100.0,54,100.0
"Footnote a ""X"" suppressed to meet confidentiality requirements. Return to footnote a referrer",,,,
