Where practitioner received the request,Track 1,,Track 2,
Count,Percent (%),Count,Percent (%),
Care coordination service,"8,072",51.2,400,54.6
Another practitioner or preliminary assessor,"3,617",22.9,123,16.8
Person directly,"3,573",22.7,194,26.5
Nurse,179,1.1,X,X
Family member,108,0.7,X,X
Social worker,104,0.7,5,0.7
"Health care setting (including palliative care, patient charts, and clinics)",76,0.5,0,0.0
Another third party,38,0.2,X,X
"Footnote a ""X"" suppressed to meet confidentiality requirements. Return to footnote a referrer",,,,
