Physician's primary area of specialty,Track 1,,Track 2,
Count,Percent (%),Count,Percent (%),
Family medicine,"8,971",64.6,461,67.4
Palliative medicine,"2,505",18.1,73,10.7
Critical care and emergency medicine,732,5.3,68,9.9
Anesthesiology,670,4.8,17,2.5
Internal medicine,601,4.3,42,6.1
Oncology,177,1.3,X,X
Psychiatry,112,0.8,7,1.0
Surgery,65,0.5,13,1.9
Other,45,0.3,X,X
"Footnote a More than one option could be selected. Totals will exceed 100% Return to footnote a referrer Footnote b ""X"" suppressed to meet confidentiality requirements Return to footnote b referrer",,,,
