# Track 1 vs Track 2 profile, 2024 data. All rows from https://www.canada.ca/en/health-canada/services/publications/health-system-services/annual-report-medical-assistance-dying-2024.html. '::' separates a metric family from its level.
metric,track_1,track_2,unit,source
provisions_2024,15767,732,count,HC 2024 Fig 2.2a
requests_deemed_ineligible,587,321,count,HC 2024 Table 2.1a
requesters_died_of_another_cause,3643,64,count,HC 2024 Table 2.1a
requests_withdrawn,402,116,count,HC 2024 Table 2.1a
total_requests,20399,1233,count,HC 2024 Table 2.1a
condition_duration::Less than 1 year,47.1,7.8,pct,HC 2024 Fig 3.2a
condition_duration::1 year to less than 5 years,35.2,35.5,pct,HC 2024 Fig 3.2a
condition_duration::5 years to less than 10 years,10.4,22.6,pct,HC 2024 Fig 3.2a
condition_duration::10 years to less than 20 years,4.9,15.6,pct,HC 2024 Fig 3.2a
condition_duration::20 years or more,2.5,18.5,pct,HC 2024 Fig 3.2a
decline::Unable to do most or all activities of daily living (ADLs) and/or instrumental activities of daily living (IADLs) or marked decrease in ability to do these activities,90.0,87.7,pct,HC 2024 Fig 3.3a
decline::Persistent significant fatigue/weakness or marked increase,82.8,58.6,pct,HC 2024 Fig 3.3a
"decline::Persistent, significant, and escalating chronic pain",56.4,64.1,pct,HC 2024 Fig 3.3a
"decline::Significant dependence on aid(s) for interaction and/or mobility, or advanced beyond use of these aids or marked increase in dependence",50.2,61.7,pct,HC 2024 Fig 3.3a
decline::Reduced or minimal oral intake or difficulty swallowing,50.5,18.3,pct,HC 2024 Fig 3.3a
decline::Cachexia or marked change in weight and/or muscle mass,46.2,18.6,pct,HC 2024 Fig 3.3a
decline::Significant shortness of breath or marked increase,39.9,14.5,pct,HC 2024 Fig 3.3a
decline::Dependent on life sustaining treatments,24.8,5.2,pct,HC 2024 Fig 3.3a
decline::Other,5.4,8.6,pct,HC 2024 Fig 3.3a
n_suffering_sources::1,0.4,,pct,HC 2024 Fig 3.4b
n_suffering_sources::2,2.3,,pct,HC 2024 Fig 3.4b
n_suffering_sources::3,7.0,4.1,pct,HC 2024 Fig 3.4b
n_suffering_sources::4,14.3,11.8,pct,HC 2024 Fig 3.4b
n_suffering_sources::5,18.7,18.3,pct,HC 2024 Fig 3.4b
n_suffering_sources::6,19.9,21.8,pct,HC 2024 Fig 3.4b
n_suffering_sources::7,18.1,19.9,pct,HC 2024 Fig 3.4b
n_suffering_sources::8,12.8,15.7,pct,HC 2024 Fig 3.4b
n_suffering_sources::9,6.6,7.7,pct,HC 2024 Fig 3.4b
age_group::18-44,1.1,3.7,pct,HC 2024 Fig 2.2b
age_group::45-54,2.5,5.2,pct,HC 2024 Fig 2.2b
age_group::55-64,9.9,12.7,pct,HC 2024 Fig 2.2b
age_group::65-74,25.6,24.9,pct,HC 2024 Fig 2.2b
age_group::75-84,33.7,30.7,pct,HC 2024 Fig 2.2b
age_group::85+,27.2,22.8,pct,HC 2024 Fig 2.2b
sex::Female,47.8,56.7,pct,HC 2024 Fig 2.2c
