"REF_DATE","GEO","DGUID","Month of death","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence","2021A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","195569","","","","0"
"1991","Canada, place of residence","2021A000011124","Total, month of death","Percentage of deaths","Percentage","242","units","0","v21216331","1.1.2","100.0","","","","1"
"1991","Canada, place of residence","2021A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","17459","","","","0"
"1991","Canada, place of residence","2021A000011124","Month of death, January","Percentage of deaths","Percentage","242","units","0","v21216333","1.2.2","8.9","","","","1"
"1991","Canada, place of residence","2021A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","15417","","","","0"
"1991","Canada, place of residence","2021A000011124","Month of death, February","Percentage of deaths","Percentage","242","units","0","v21216335","1.3.2","7.9","","","","1"
"1991","Canada, place of residence","2021A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","17052","","","","0"
"1991","Canada, place of residence","2021A000011124","Month of death, March","Percentage of deaths","Percentage","242","units","0","v21216337","1.4.2","8.7","","","","1"
"1991","Canada, place of residence","2021A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","16042","","","","0"
"1991","Canada, place of residence","2021A000011124","Month of death, April","Percentage of deaths","Percentage","242","units","0","v21216339","1.5.2","8.2","","","","1"
"1991","Canada, place of residence","2021A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","16414","","","","0"
"1991","Canada, place of residence","2021A000011124","Month of death, May","Percentage of deaths","Percentage","242","units","0","v21216341","1.6.2","8.4","","","","1"
"1991","Canada, place of residence","2021A000011124","Month of death, June","Number of deaths","Number","223","units","0","v21216342","1.7.1","15369","","","","0"
"1991","Canada, place of residence","2021A000011124","Month of death, June","Percentage of deaths","Percentage","242","units","0","v21216343","1.7.2","7.9","","","","1"
"1991","Canada, place of residence","2021A000011124","Month of death, July","Number of deaths","Number","223","units","0","v21216344","1.8.1","15636","","","","0"
"1991","Canada, place of residence","2021A000011124","Month of death, July","Percentage of deaths","Percentage","242","units","0","v21216345","1.8.2","8.0","","","","1"
